sample_id,channel,comment_text,is_known_positive,comment_length
42,Nick Norwitz,"How did the researchers determine no muscle mass was lost, dexa scan or something else? Also, if obesity is an fgh1 resistant state wouldn't triggering more fgh1 contribute to that resistance and make things worse, like like insulin resistance?",False,244
43,Mark Hyman,"I'm lactose intolerant in my older age, so I sometimes use almond milk or oat milk.",False,83
44,Dr. Robert Cywes M.D.,"Amazing!  I've felt this intuitively for years , I wish we had more doctors like him !!!!",False,89
45,Anthony Chaffee MD,"My wife was diagnosed with early onset Alzheimer's at age 58 one year ago (her MoCA score was a 14). One year later, her MoCA score went up to a 24! We have been carnivore for 6 months (along with many other lifestyle changes). All mainstream medicine offered us was hopelessness. We now 'know' we can fight this disease.",False,321
46,Anthony Chaffee MD,"There’s a sports doctor named Mike on here that has muscle, but is really obese and he’s always saying the public didn’t listen to the government advice. YES WE DID. I’m 61 and have been misled and lied to my whole life. I’ve tried every way possible to lose weight and have lost over 100 lbs the hard way and now the easy way. Now I know to eat meat and veggies, basically. Watch my blood sugar on a cgm because a spike of blood sugar is followed by a spike of insulin that tells the body to store that fat! I always comment that those guys should look at the carnivore and keto doctors and see who they’d rather look like and be like. He’s always knocking low carb, high fat which is how I’ve pretty much effortlessly lost 158 lbs this time. This is my lifestyle now. I’ve spent my whole life trying to figure this out. Keto or carnivore if you can and fasting. That’s it. That’s the ticket to health. My type 2 is in remission, off proton pump inhibitors, blood pressure meds cut in half, zero joint pain. Feel better at 61 than I did at 16.",True,1044
47,Eric Westman,"More than a year ago, I went on carnivore diet. In less than 3 months into it, I had a mild stroke. Prior to that, I did IF. My cholesterol and triglycerides weren't that high and my blood sugar was low. However, my blood was viscous.",False,234
48,Dr. Boz,"I have lost 40 pounds and deadlift 220lbs, Squat 200 and bench 100. I have gained muscle mass and lost fat by prioritizing protein and strength training. This is total bullshit.",True,177
49,KenDBerryMD,"Thank you, Dr. Berry, you have changed my life!!! I am on day 8 and am down 13.7 pounds. Had a 2-day keto flu but feel much better now, I still have headaches though, but no cravings. I'm 42, 5'5 and was 187lbs. I'm still working on my protein and fat consumption (I was a vegetarian before), but it's getting easier/better every day! Thank you so much!!!",False,355
50,Nick Norwitz,"I did the carnivore diet for one year. Cholesterol levels sky rocketed. I did lose weight, I lost 30lb's. I was only 25lb's over what my Dr. wanted me at which is 160lb's.  I also had a heart attack at the end of that year. Now recovering from triple bypass surgery. Nice! I will say, my acid reflux went away also.",True,315
51,Jason Fung,"I'm down 90 pounds using a combo of IF, low carb and daily exercise.  This over a 30 month period.  16/8 works well for me and I do this 80% of the time, but some days I'll do 18/6, 20/4 or OMAD.",True,195
52,Mark Hyman,"I have EVERY symptom of Celiac. My dad has it, and his mom died of colon cancer (both are from England and immigrated to Canada in the late 50's). I have gotten tests for years, even saw a  gastroenterologist, and they all dismiss me.   I don't eat gluten anymore, but get ""glutened"" all the time, no matter how vigilant, and I feel horrible for days.   I also ended up being tested and finding allergies to eggs, nuts, corn, oats, chocolate, etc, all of which I ate voraciously up to the day I was told I am allergic to them. Many doctors in Canada don't even believe in allergies, or say we have ""food sensitivities"", with the only treatment- to avoid the particular food.   Now to complicate my diet even further, I am suddenly really sensitive to all nightshades!!! It feels like I am running out of foods to eat but apparently I have no health problems according to doctors!!! I want to know how this happened to me. I used to eat everything with no problem. It's SO frustrating!",False,984
53,Dr. Boz,Ok you can spot it but tell us how to fix insulin resistance please,False,67
54,Jason Fung,This information was really good.  Thank you   Are you a Christain?,False,67
55,Eric Berg DC,I'm glad I picked you! Continue your good works.,False,48
56,Eric Westman,Jeez Mike looks like his about to pass out,False,42
57,Eric Westman,"1yr half on carnivore. Started to get tired, low libido, leg cramps (had been constant for a while), memory was failing but still brain function clear. Seen a video of someone talking about iodine. So I got salt with iodine. Literally the same day I started all symptoms went away. Never heard anymore mention iodine deficiency.",True,328
58,Dr. Robert Cywes M.D.,"Makes sense on a biological standpoint that we like other apes who eat greens are meant to as well... Yes, peoples experiences say otherwise... I'm to a point I can't gamble with oxalates anymore.. I & many others feel better on animal based diet & tend to suffer when adding in more plants... It's not even just oxalates but lectins as well.. Experience trumps all",False,365
59,Dr. Boz,"Fasting everyday from 10pm to 1:00pm (next day). Very small lunch (rice and beans). And regular dinner (chicken,fish, no processed foods). And at least half my body weight in water per day. I run at least every other day (3 miles). I have lost about 40 lbs and am keeping it off.",True,279
60,Eric Westman,Hamburger literally saved me and put my crohns disease in remission. I have had an illeoanal pull through because i literally lived in grains 30 years ago. . Never been healthier since I quit grains.,True,199
61,Mark Hyman,Nothing  wrong with dairy if they should stop putting hormones in animals,False,73
62,Dr. Boz,Great video!   Nice breakdown of the info with no BS filler.   My main question is: How do I know when I’m done cleaning up dead cells?  How long does Autophagy need to last and how often do I need to do it (with a regular carb diet)?,False,234
63,Jason Fung,Just subscribed and was fascinated with your talkes. It's sad I admit that I always thought people who fasted had a couple of loose screws. Now that iv been diagnosed w/diabetes it's a new chapter in my life that I have to make right. I just stared taking metaformin but how I just don't want to take meds for something I know if I just work at.. .I can correct my sad and bad habits. Thank you for sharing all your knowledge and amazing studies. Cause today is my 1st step to a better me. 🙏🙏🙏Thank you again 😊👍 and best of luck to everyone trying and wanting to try....its all in ourselves to Want to be a healthier person ❤😊,False,626
64,Anthony Chaffee MD,What kind of salt do you use?,False,29
65,KenDBerryMD,"42 yr old bloke here - just found this channel. About 2 weeks into it. Started at 95kg, Lost almost 4kg with intermittent fasting  16-8. Unfortunately no exercise chucked in the mix yet - plumbing somewhat  adjusts for that, but obviously not fully. A few side-eyes at carbs and the kids scraps 🙃😆 but able to stay away. Ive got some dry skin/cracking issues so we'll see how it goes a few months in !",True,401
66,Anthony Chaffee MD,"What a heart warming conversation.   Dr. Chaffee is a very respectful and gracious host, giving time to a very knowledgeable guest.",False,131
67,Eric Berg DC,The best thing about fasting is that you're not slow,False,52
68,Eric Westman,oh forgot my big hanging belly has gone down and the hard fat that I once thought was a tumor is almost gone. 13 pounds lost.,False,125
69,Eric Berg DC,Thanks Doctor May God Bless You 🙏🙏🙏,False,35
70,Dr. Boz,"Our ancestors and grandparents who were much healthier than us were eating lots of fruits, so….",False,95
71,Jason Fung,thanks Dr Fung!,False,15
72,Dr. Boz,"Insulin resistance is not ""deadly desease"" this is a condition",False,62
73,Dr. Robert Cywes M.D.,"Back about 60 years ago, just as A/C was coming on the scene, there used to be salt pills about the size of the 81mcg aspirin tablet. These were handed out/made available on hot days to help conserve water.",False,206
74,Eric Westman,Best video I’ve seen in my life. This is so important.,False,54
75,Mark Hyman,Every thing you said here.😎,False,27
76,KenDBerryMD,Thanks for being honest! Appreciated 👍I’m a plain water drinker.,False,64
77,Eric Berg DC,"I am a nurse and during work,get so hungry and eat everything that My eyes lays on.. so now I have started to fast everyday minimum 16hrs ..I lost 3kg in a week and I thought I will feel week but now I feel more alert than ever..hoping to continue this fasting for prolong time",True,277
78,Dr. Robert Cywes M.D.,So what type of carbs to consume??,False,34
79,Mark Hyman,What about yoghurts ...?,False,24
80,Eric Berg DC,For the past year i only eat lunch and i eat almost no carbs and i have lost almost no weight,False,93
81,Eric Westman,"After I had lost 55 pounds on keto and maintained that loss for two years, my internist told me “enough with the keto“. I told her I would not stop eating a ketogenic diet or the weight would come back. I could see her grinding her teeth, but she said nothing. I also had weaned myself off of 100 mg per day of losartan during that period.  💪🥳🥩🥑",True,345
82,Nick Norwitz,"In a year, I lost 55 pounds and 100% reversed my fatty liver so for me the carnivore diet is awesome",True,100
83,Dr. Boz,"I’m 14 and on it only because I feel really insecure about my weight because it’s an unhealthy weight to be at, I just have to make sure I do work out too and so far I have lost 35lbs!!!🎉",True,187
84,Jason Fung,Brilliant doctor,False,16
85,Eric Westman,Never quitting Keto. No more pain joint here!,True,45
86,Nick Norwitz,"If it weren't for dinosaurs, we wouldn't have eggs",False,50
87,Mark Hyman,Loved how the interviewer explained acronyms and complex phrases.  The content is amazing.  To eradicate or cure SLS,False,116
88,Eric Berg DC,I’m on day 13 of your 2 week no sugar challenge.  Result: feeling fantastic! I can tick off pretty much all of the 9 advantages you mention in this video.  Thank you for your excellent research and getting this information out there so eloquently. Onwards and upwards.,False,268
89,Eric Berg DC,Hi Doctor Berg….. I’m hooked on you and save every thing I can so I can go back and listen again and again!!! I don’t get hungry anymore and can go without food 15 to 16 hours or more.  But when it’s time for me to eat I find myself not knowing what to eat crazy😂.  I want to loose 35 pounds but so far I’ve only lost 10 but I’m sure not complaining.   I’m a cancer survivor and I don’t do a lot of sugar but  sometimes do trying to quit.  Thanks for being there for us followers and you are amazing!!,False,501
90,Dr. Robert Cywes M.D.,"Suddenly feeling bad about my chowmein and whiskey dinner... just took another bite/ drink, never mind",False,102
91,Anthony Chaffee MD,Is there ANY hope for pancreatic cancer!? There have been zero improvement in this cancer !,False,91
92,Dr. Robert Cywes M.D.,"Im 53 never had breakfast in my live, im fit and totally healthy",False,64
93,Mark Hyman,"This man is too honest and principled to even attempt running for president: if the smear campaign will not be enough, they will give him the same quick treatment they gave his uncle and father. I would love to see him win though, and see if 'murica could become a civilized nation for once.",False,291
94,Anthony Chaffee MD,Such a thirst trap 😂 I don't know if its the bacon I am cooking in my over right now but my mouth is watering 😋,False,111
95,Shawn Baker MD,I’m 67 and have been Carnivore for 2 years as of March 1st. Have lost over 50 pounds and my health is tremendously improved from what it was 2 years ago. This woman has no clue what she is talking about spouting pure nonsense. Thank you Dr. Baker!!! ❤🥓🥩 🥚 🧈,True,257
96,Nick Norwitz,Calling bullshit on this.,False,25
97,Ben Bikman,"I have been cutting out most carbs for 2.5 years, especially sugars. I also went to intermittent fasting 4-5 times a week. I slowly lost 20kg which is not much but then I did never weigh more than 89kg. If I eat carbs only as brown organic rice once in 2 month, dark rye sourdough or whole grain bread. I cut out potatoes and noodles. I only use butter olive oil and coconut fat. I cook all my own food from fresh organic produce eat meat mostly chicken some beef lamb and pork(organic free range). I make my own fermented vegetables. I eat enough and not too much as I feel full after a small meal. No urges as some days when busy I nearly forgot to eat. I do now and then snack a little but have no problems afterwards. I am 75 and needed to lose weight to take pressure off my hips and knees. I am trying to go down a few more kg. My waist went down from 86cm to 77cm. It is achievable.😊",True,890
98,Ben Bikman,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not shift. Please advice. TIA",True,225
99,Eric Westman,I lost 40 pounds because of dr. Eric berg vedios over 2 years.... damn u.,True,73
100,Dr. Robert Cywes M.D.,So what can I have to eat in the interim?,False,41
101,Jason Fung,"I reversed my diabetes in about a month. You don't need to fast. All you need to do is to reduce you calorie intake to 600 calories a day with a non sugar diet. I ate veggies, and drank Atkins milkshake for breakfast, lunch, and dinner. Notice I didn't say fruit. This was based upon the Newcastle Diet from England.",True,316
102,Eric Berg DC,I love the bread.  Doubled the recipe and baked in a bread pan.  Got normal sized slices.  Couldn't be happier.  Did not get to internal temperature. Delicious!!!,False,162
103,Ben Bikman,"I had RnY gastric surgery 20 years ago. I lost 200, and then gained the majority of it back. I then lost about 150 pounds doing Weight Watchers, and then gained it all back again. Then started resetting my pouch and conditioned my stomach to eat no more than the 4 ounces again, focusing on protein. And this helped me lose about 200 pounds, but I know that I was not eating adequate fat and was still not eating enough protein. And so I know that I lost considerable muscle mass as well. I still have about 25 pounds to lose, and am now doing carnivore for healing and love it. However, I am still struggling to find any information about how much I should really be eating and what I should really be focusing on with my macros in respect to my RnY surgery. If you can help me with any information on this, it would be so much appreciated. I enjoy your channel. Thank you so much.",True,882
104,KenDBerryMD,"I'm 70, lost 30 lbs on carnivore then had surgery and ate wrong, got off the train, and now gaining weight again. This video gives me hope I can drop the weight again. The  carnivore diet also gives me better overall health, good skin and hair, and strong bones with  no osteoporosis or osteopenia.",True,298
105,Mark Hyman,"This is the best most concise I've ever heard.. I had mold in my house for over 3 molds... I've had LC for 3 1/2 yrs but the last year I've gotten worst since I had the mold...they tore out my ceilings but I had been exposed for 3 months.  Thank you so much for trying to help.. so good.. I'm so sick 😭  Mcas, dystnomia, I feel like my body is constantly trying to shut down..fight or flight panic attacks.. fighting for my life.. 😭  internal tremors, Neuro problems extreme fatigure.....I'm very scared..please God help me please..mycotixons fermented foods not good for mcas...what about nicotine patches?  My problem I'm not hungry I'm living on smoothies I've lost 40 pounds...my mind I don't know how to do all that.. I wish you could put these in this transcrpt..",True,769
106,Mark Hyman,"This conversation gave me hope for the future of doctors. I lost faith and trust in doctors about 40 years ago, so I stayed healthy by not going near them. For broken bones, they're great, and I valued the fact of them being there. But they aren't the road to health. Naturopaths, herbalists, osteopaths, acupuncurists, nutrition, minerals, vitamins, sea and tissue salts, meditation, colon cleanses, electrical cleaning, trusting your instinct, which doesn't lie, and avoiding pharmaceuticals where possible is the journey I took. This has lead to better understanding my systems, trusting the intelligence of the body, having confidence in the human design and it's ability to heal itself. Incentivised medicine for profit is killing it. What has it got to do with real CARE.",False,777
107,Ben Bikman,Brilliant lecture!!👏🏻👏🏻👏🏻,False,25
108,Eric Westman,Wow! That makes me believe Dr. Berg’s information even more. Thank Dr. Berg for helping me during a difficult time in my life.  Thanks to your channel I now have the tools to help myself and finally start seeing positive results in my health.❤,False,243
109,Eric Westman,"“Currently the WHO has full control over only about a quarter of its budget.” Laurence Gostin, Global Health Expert. The article explains “Gates Foundation is responsible for over 88% of the total amount donated by philanthropic organizations.” Not to mention the other private interest groups that are lobbying.",False,312
110,Eric Berg DC,I try this all the time to completely forgetting within the same day ! Ugh,False,74
111,Dr. Boz,"Went down on Wifey and tasted strong sardines.  I met the challenge with gusto, and feel complete till next meal down south, in about 24 hours.     😋",False,149
112,Mark Hyman,"im in Canada, Québec. Is it possible to get compounded Semiglutides ?",False,69
113,Dr. Robert Cywes M.D.,"Fabulous news, I love my coffee. It’s great to know I can drink it with no harmful effects.",False,91
114,Eric Berg DC,"Ас-саляму алейкум, доктор Берг!!!  Спаибо вам за ваше видео!!!",False,62
115,Shawn Baker MD,she sounds stable lol.  I do appreciate her fake cans though to be positive,False,75
116,Eric Westman,"Hello Dr Westman, I heard you live in TN back in August and learned A Lot and am now a fan.  Mike the vegan is incorrect about  Mercola who cited a hypothesis by Denise Minger who proposed that a less than 20% low fat diet (Ancel Keys era) is beneficial. Mercola is still a proponent of the Keto diet, what he is suggesting is there is a sweet spot at both ends of the scale, less than 20% low carb and less than 20% low fat.",False,425
117,Dr. Boz,Challenge accepted,False,18
118,Dr. Robert Cywes M.D.,"He’ll, I don’t even know what to eat anymore 🎉",False,46
119,Dr. Boz,I don't know what the f*** I'm supposed to eat,False,46
120,Anthony Chaffee MD,What about ask her to publish her books?,False,40
121,Eric Berg DC,"Years ago I was on the Whole30 diet and I lost 20lbs on 4-5mths. I cut out the added sugar the bread, dairy and wheat. It was really tough for me in the beginning, to sustain that diet.   I realized I had to read ingredients labels. American food practically have added sugar in everything. So it was tough to wisely choose my groceries and meal plan along with meal prep.   If I can do it, you definitely can do it.",True,416
122,Jason Fung,Great explanation.  Thank you.  I had my wife watch... hopefully she will try fasting.,False,86
123,Eric Westman,"Foadmap-diet didn't make a trick on my gut, but no-plant-diet did. Foadmap-diet caused me bloating, inflammation with a lot of mucus. Now I am on keto, and the only plant I  eat is blueberry, blueberries does not contain LECTINS. But I still struggle with constipation.",False,269
124,Shawn Baker MD,When unintelligent people try to talk intelligently ☠️,False,54
125,Mark Hyman,I was given psychiatric meds for losing my ability to sleep due to gastritis and the side effects of ppi’s. Those pills never put me off to sleep. I got no medical recognition and I was about to die with no sleep for almost a month. After a month some clonazepam worked but everything under my skull was inflamed. And possibly bleeding. After two years of searching I found a doctor who injected me with rescuvolin and glutathione plus Mg and vitb6. I started healing. Then stopped gluten and sugar and too GI sustain which healed the inflammation in my stomach. I paid for all the appropriate treatment which I found over the internet. Because medical aid doesn’t pay for functional medicine. I’m focusing on gut healing and learning more about leaky gut. It saved my life and I learned that allopathic doctors are just service people who really don’t want to heal people because there’s no business in it for them.,True,916
126,Eric Westman,We need carnivore drs to check all our blood work to show what really vitamin is missing,False,88
127,Jason Fung,Thanks for the advice!,False,22
128,Jason Fung,"Have lost 139 pounds since last April 2021. Increasingly I am fasting more and more. My pre diabetes is gone 5.4, A12 average I no longer take diabetes meds, blood pressure meds and as you can imagine insulin resistance is disappearing. My resting heart rate is at 73 down from 85 last April. My mood is so much better. Energized and eat much much less.",True,353
129,Eric Westman,Question: Why did our tastebuds evolve to like the taste of sugar and carbs. If we reduce oxidative stress in the cells by removing highly oxidised seed oils we will crave less carbs as our body will better use its healthy fat tissue rather than tainted seed oil fat to generate energy. The brain creates strong carb cravings when the stored body fat option is too high in poly unsaturated fatty acids.,False,402
130,Eric Westman,He takes all the enjoyment out of eating. I've listened to several of his talks then it ends up he's selling a product. I for one will not dissect every bite I take. I follow Dr. Westmans plan the best I can. He's such a food snoot!,False,232
131,Dr. Boz,"I ate 4-6 apples, sometimes 4-6 bananas, sometimes 4-6 oranges every single day for 14 weeks, with a few other things.  I'm 55, I went from 208 down to 168, in 14 weeks, and lost my Cancer without any treatments etc. I worked painting houses, and like most human beings should,  I exercised a bit on top of that. 1-2 moderate workouts, barely breaking a sweat. I probably wasn't working out enough, but it still worked.  I included a little over half pound of organic grass-fed ground beef every day",True,499
132,Shawn Baker MD,Lp a is so important everyone should do that test,False,49
133,Nick Norwitz,I’m 55 hdl and 60 trig but ldl is 280 am I a lmhr,False,49
134,Anthony Chaffee MD,"I started Carnivore 2 weeks ago.  I have lost 8 lbs.   But The reason I started carnivore is that I was having a lot of pain in my feet and ankles. It had gotten so bad until they hurt all the time and I had a hard time walking on my feet. Within 1 week of starting carnivore, the pain in my feet, ankles & hands was gone.  I am trying to get the inflammation out of my body.  I have no discs in my lower back and I hang on an inverse table periodically and that is what has saved me from surgery.  I am working to get the inflammation out of my knees and my back.  I also have osteoporosis in my wrists and high cholesterol.  Last Christmas my cholesterol was 204. By my next appointment in June, I had completely gone off sugar and my cholesterol was 164.",True,757
135,Dr. Boz,"People are speaking negativity about this medication. Before I got on Semiglutide I tried ever diet, fast and workout. I was pre diabetic. I had tingling feet and hands, high BP, headaches daily, could barely see, my BMI numbers were horrible and I was at my heaviest at 202-205 lbs. I had breathing problems and snoring while sleeping but when I started using Semiglutide I lost 38 lbs, no tingling in my hands and feet, no feeling of being sluggish, much more energy and can breathe better. Also I had no issues with my eyes with feeling like I can't see much. BP is good and better yet, I got that stubborn weight off. I did all of this without working out. Let people pray about it and see if it's for them.",True,711
136,Eric Berg DC,"I am a healthy 38 year old, I gave up sugar for 3 weeks and lost 13 lbs. I did it without touching the gym so now let's add back in the workouts. I am down to 210 which was my goal! No sugar is a definitely lifestyle now",True,220
137,Eric Berg DC,"Thank you making us aware! No sugar or substitutes for almost 3 years, best decision of my life! First month was challenging, now i cant eat sugar even if you pay me! Try it people!",False,181
138,Nick Norwitz,no study that uses a questioner as evidence of something should ever be taken as anything but biased to the answer the surveyor's wanted.,False,137
139,Jason Fung,what i love most about IF is my brain fog disappeared! i dont feel still tired upon waking up 🎉,True,95
140,Jason Fung,Play puzzles games on line while listening. This is effectiveness.,False,66
141,Anthony Chaffee MD,"There’s a sports doctor named Mike on here that has muscle, but is really obese and he’s always saying the public didn’t listen to the government advice. YES WE DID. I’m 61 and have been misled and lied to my whole life. I’ve tried every way possible to lose weight and have lost over 100 lbs the hard way and now the easy way. Now I know to eat meat and veggies, basically. Watch my blood sugar on a cgm because a spike of blood sugar is followed by a spike of insulin that tells the body to store that fat! I always comment that those guys should look at the carnivore and keto doctors and see who they’d rather look like and be like. He’s always knocking low carb, high fat which is how I’ve pretty much effortlessly lost 158 lbs this time. This is my lifestyle now. I’ve spent my whole life trying to figure this out. Keto or carnivore if you can and fasting. That’s it. That’s the ticket to health. My type 2 is in remission, off proton pump inhibitors, blood pressure meds cut in half, zero joint pain. Feel better at 61 than I did at 16.",True,1044
142,Jason Fung,I LOVE DR. FUNG!!!,False,18
143,Nick Norwitz,Amazing how well Marc looked  on low protein.With a 4:1 keto diet what would be typical % of protein /body weight for someone like him ? 😮,False,138
144,Nick Norwitz,"The real scandal is people who call this ""L-M-N-T"" instead of ""element"".",False,72
145,Dr. Boz,"So she doesn't want us eating fruit or carbs from whole foods. All that is left is veggies, milk and meat.",False,106
