bigram,frequency
carnivore lifestyle,227
me not,226
not one,225
water fasting,224
fasting glucose,224
eat healthy,224
lost 20,224
100 lbs,223
go carnivore,223
normal range,222
went keto,221
now feel,221
went off,221
going carnivore,220
never eat,218
human diet,217
from carnivore,217
can not,217
high school,216
acid levels,216
fasting one,215
you now,215
never get,214
high uric,213
never got,213
now after,212
reversed my,212
fasting only,212
even better,212
full carnivore,212
pre diabetic,209
no energy,209
eating sugar,208
low carbs,207
more carbs,207
so no,206
your gut,206
heart issues,206
protein diet,205
say no,205
ideal weight,205
ovary syndrome,204
body can,204
no other,204
know when,203
sugar cravings,202
getting worse,202
not doctor,201
chronic fatigue,201
my hair,201
days without,201
gluten free,200
20 pounds,200
completely gone,200
heart rate,198
chronic pain,198
fasting anyone,197
keto flu,197
eating high,197
lost 30,196
many carbs,196
energy levels,194
know you,194
no carb,194
50 lbs,194
so sick,193
my kidney,192
getting better,192
fasting so,191
you enough,191
am carnivore,191
dont know,191
50 pounds,190
amino acids,190
all gone,190
exogenous ketones,189
fasting blood,189
sugar from,189
day now,189
weight my,188
coming off,188
lost 40,188
better my,188
high oxalate,188
gut microbiota,188
dr saladino,188
meat diet,187
while fasting,187
not too,186
pressure cooker,186
right away,185
higher than,185
diet can,185
not having,185
lost lbs,185
you're not,185
sugar so,185
carb high,183
me know,183
fasting am,183
never seen,183
didn know,183
about fasting,183
carb keto,182
also lost,180
carnivore keto,180
not doing,180
not getting,179
insulin response,179
lost 15,178
fasting people,178
no doubt,178
a1c went,176
not work,176
better now,176
blood sugars,176
healthy life,176
off sugar,175
never ever,175
no pain,175
no food,175
up sugar,175
too high,173
years carnivore,173
my sleep,173
any weight,173
diet you,173
now intermittent,173
gained weight,172
carnivore my,172
never knew,172
carnivore so,171
lost 100,171
off all,171
i'll never,170
type diabetic,170
pressure medication,170
now eat,170
not fat,169
no wonder,169
definitely not,169
carnivore as,168
lost 25,168
your liver,168
better when,166
without eating,166
now just,166
my mood,166
elimination diet,166
now can,165
20 lbs,165
got off,165
carbs so,165
diet also,165
no problem,164
low blood,164
his diet,164
lot better,164
never thought,163
no processed,163
keto my,163
really sick,163
meat no,162
ldl cholesterol,162
weight training,162
i'm diabetic,162
40 lbs,161
people know,161
my arthritis,161
got sick,161
even know,161
more weight,160
sugar no,160
i'm now,160
no meds,160
not go,160
balanced diet,160
diet am,160
re not,160
another great,159
almost gone,159
carb intake,159
not healthy,159
gone from,159
improved my,159
your cholesterol,159
not make,158
stopped taking,158
blood type,158
fasting now,157
now you,157
lost 12,156
keto since,156
from keto,156
you not,155
my high,155
not my,155
healed my,154
better sleep,154
into ketosis,154
lost about,153
paul saladino,153
me now,153
he's not,153
take no,153
now understand,152
only lost,152
any diet,151
knowledge you,151
no medication,151
into carnivore,151
30 lbs,150
eating keto,150
never liked,150
no no,150
100 pounds,149
high sugar,149
10 lbs,149
starting carnivore,149
gaining weight,148
eating healthy,148
not need,148
muscle loss,148
cancer cells,148
my inflammation,148
skin tag,148
now all,147
carbs from,147
not about,147
fasting from,147
start carnivore,147
kidney stone,146
healthy weight,146
following your,146
better then,146
sugar intake,146
now it's,146
blood clots,145
hdl ratio,144
no problems,143
lbs so,143
your brain,142
fasting don't,142
my pain,142
empty stomach,142
high amount,142
ldl particles,142
weight so,141
not overweight,141
about carnivore,141
now down,141
carnivore diets,141
now she,140
my keto,140
colon cancer,140
carbs per,139
so tired,139
body just,139
hungry all,138
gone away,138
during fasting,138
not giving,138
i'm carnivore,138
